"Object","Property Name","Dependent Property","Dependent Value","Type","Category","Narrative Func","Options","Index","Importance"
"product","description",,,,,,,,
"product","branding",,,,,,,,
"product","upcs",,,,,,,,
"product","dimensions",,,,,,,,
"product","weight",,,,,,,,
"product","modelInfo",,,,,,,,
"product","origin",,,,,,,,
"product","manufacturerDate",,,,,,,,
"product","colors",,,,,,,,
"product","hashTags",,,,,,,,
"product","classification",,,,,,,,
"product","features",,,,,,,,
"product","includes",,,,,,,,
"product","flags",,,,,,,,
"product","notes",,,,,,,,
"product","madeOf",,,,,,,,
"product","apparelDetails.sizeGroup",,,,,,,,
"product","apparelDetails.size",,,,,,,,
"product","apparelDetails.closureTypes",,,,,,,,
"product","apparelDetails.clothingCare",,,,,,,,
"product","apparelDetails.cutNo",,,,,,,,
"product","apparelDetails.dressType",,,,,,,,
"product","apparelDetails.fitType",,,,,,,,
"product","apparelDetails.heightMap",,,,,,,,
"product","apparelDetails.lengthMeasurement",,,,,,,,
"product","apparelDetails.lengthType",,,,,,,,
"product","apparelDetails.lifestyleType",,,,,,,,
"product","apparelDetails.pocketType",,,,,,,,
"product","apparelDetails.riseType",,,,,,,,
"product","apparelDetails.strapType",,,,,,,,
"product","apparelDetails.styleNo",,,,,,,,
"product","apparelDetails.suitType",,,,,,,,
"product","apparelDetails.bottomDetails.",,,,,,,,
"product","apparelDetails.bottomDetails.",,,,,,,,
"product","apparelDetails.bottomDetails.",,,,,,,,
"product","apparelDetails.topDetails.",,,,,,,,
"product","apparelDetails.topDetails.",,,,,,,,
"product","apparelDetails.topDetails.",,,,,,,,
"product","apparelDetails.topDetails.",,,,,,,,
"product","apparelDetails.topDetails.",,,,,,,,
"product","apparelDetails.topDetails.",,,,,,,,
"product","apparelDetails.topDetails.",,,,,,,,
"product","apparelDetails.topDetails.",,,,,,,,
"product","apparelDetails.topDetails.",,,,,,,,
"product","apparelDetails.topDetails.",,,,,,,,
"product","apparelDetails.footwearDetails.",,,,,,,,
"product","apparelDetails.footwearDetails.",,,,,,,,
"product","apparelDetails.footwearDetails.",,,,,,,,
"product","apparelDetails.footwearDetails.",,,,,,,,
"product","apparelDetails.footwearDetails.",,,,,,,,
"product","apparelDetails.footwearDetails.",,,,,,,,
"product","apparelDetails.footwearDetails.",,,,,,,,
"product","apparelDetails.swimwearDetails.",,,,,,,,
"product","apparelDetails.swimwearDetails.",,,,,,,,
"product","apparelDetails.swimwearDetails.",,,,,,,,
"product","gender",,,,,,,,
"product","text",,,,,,,,
"product","msrp",,,,,,,,
"product","mediaDetails.title",,,,,,,,
"product","mediaDetails.subtitle",,,,,,,,
"product","mediaDetails.blurb",,,,,,,,
"product","mediaDetails.collectionOf",,,,,,,,
"product","mediaDetails.pieceCount",,,,,,,,
"product","mediaDetails.releaseDate",,,,,,,,
"product","mediaDetails.copyright",,,,,,,,
"product","mediaDetails.format","mediaDetails.kind","movie/tv-series",,,,,,
"product","mediaDetails.starring","mediaDetails.kind","movie/tv-series",,,,,,
"product","mediaDetails.directedBy","mediaDetails.kind","movie/tv-series",,,,,,
"product","mediaDetails.authors","mediaDetails.kind","movie/tv-series",,,,,,
"product","mediaDetails.duration","mediaDetails.kind","movie/tv-series",,,,,,
"product","mediaDetails.flags","mediaDetails.kind","movie/tv-series",,,,,,
"product","mediaDetails.rating","mediaDetails.kind","video-game",,,,,,
"product","mediaDetails.consoleType","mediaDetails.kind","video-game",,,,,,
"product","mediaDetails.studio","mediaDetails.kind","video-game",,,,,,
"product","mediaDetails.format","mediaDetails.kind","music",,,,,,
"product","mediaDetails.studio","mediaDetails.kind","music",,,,,,
"product","mediaDetails.artist","mediaDetails.kind","music",,,,,,
"product","mediaDetails.tracks","mediaDetails.kind","music",,,,,,
"product","mediaDetails.rating","mediaDetails.kind","movie",,,,,,
"product","mediaDetails.genre","mediaDetails.kind","movie",,,,,,
"product","mediaDetails.rating","mediaDetails.kind","tv-series",,,,,,
"product","mediaDetails.genre","mediaDetails.kind","tv-series",,,,,,
"product","mediaDetails.network","mediaDetails.kind","tv-series",,,,,,
"product","mediaDetails.season","mediaDetails.kind","tv-series",,,,,,
"product","mediaDetails.bookType","mediaDetails.kind","book",,,,,,
"product","mediaDetails.bookCategory","mediaDetails.kind","book",,,,,,
"product","mediaDetails.edition","mediaDetails.kind","book",,,,,,
"product","mediaDetails.language","mediaDetails.kind","book",,,,,,
"product","mediaDetails.pageCount","mediaDetails.kind","book",,,,,,
"product","mediaDetails.publishers","mediaDetails.kind","book",,,,,,
"product","mediaDetails.authors","mediaDetails.kind","book",,,,,,
"product","mediaDetails.illustrators","mediaDetails.kind","book",,,,,,
"product","mediaDetails.genre","mediaDetails.kind","book",,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product","mediaDetails",,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
"product",,,,,,,,,
